2024-04-29 17:33:32.053 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-04-29 17:33:32.168 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Finished Spring Data repository scanning in 99 ms. Found 3 JPA repository interfaces.
2024-04-29 17:33:33.155 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer.initialize - Tomcat initialized with port 8080 (http)
2024-04-29 17:33:33.174 [restartedMain] INFO  o.a.catalina.core.StandardService.log - Starting service [Tomcat]
2024-04-29 17:33:33.175 [restartedMain] INFO  o.a.catalina.core.StandardEngine.log - Starting Servlet engine: [Apache Tomcat/10.1.20]
2024-04-29 17:33:33.267 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log - Initializing Spring embedded WebApplicationContext
2024-04-29 17:33:33.268 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext.prepareWebApplicationContext - Root WebApplicationContext: initialization completed in 2644 ms
2024-04-29 17:33:33.520 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper.logPersistenceUnitInformation - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-04-29 17:33:33.611 [restartedMain] INFO  org.hibernate.Version.logVersion - HHH000412: Hibernate ORM core version 6.4.4.Final
2024-04-29 17:33:33.673 [restartedMain] INFO  o.h.c.i.RegionFactoryInitiator.initiateService - HHH000026: Second-level cache disabled
2024-04-29 17:33:34.052 [restartedMain] INFO  o.s.o.j.p.SpringPersistenceUnitInfo.addTransformer - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-04-29 17:33:34.095 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource.getConnection - HikariPool-1 - Starting...
2024-04-29 17:33:34.256 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool.checkFailFast - HikariPool-1 - Added connection org.mariadb.jdbc.Connection@2fe12e42
2024-04-29 17:33:34.261 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource.getConnection - HikariPool-1 - Start completed.
2024-04-29 17:33:35.766 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator.initiateService - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-04-29 17:33:35.879 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean.buildNativeEntityManagerFactory - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-04-29 17:33:36.681 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration.openEntityManagerInViewInterceptor - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-04-29 17:33:37.951 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer.startServer - LiveReload server is running on port 35729
2024-04-29 17:33:38.027 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer.start - Tomcat started on port 8080 (http) with context path ''
2024-04-29 17:33:38.042 [restartedMain] INFO  c.e.A.ApiBibliotecaMultimediaApplication.logStarted - Started ApiBibliotecaMultimediaApplication in 8.32 seconds (process running for 9.525)
2024-04-29 17:33:38.579 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-04-29 17:33:38.579 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet.initServletBean - Initializing Servlet 'dispatcherServlet'
2024-04-29 17:33:38.581 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet.initServletBean - Completed initialization in 2 ms
2024-04-29 17:33:40.356 [http-nio-8080-exec-4] INFO  o.s.api.AbstractOpenApiResource.getOpenApi - Init duration for springdoc-openapi is: 1154 ms
2024-04-29 17:33:53.346 [http-nio-8080-exec-5] DEBUG org.hibernate.SQL.logStatement - select c1_0.`id`,c1_0.`anyo`,c1_0.`autor`,c1_0.`categoria`,c1_0.`comentario`,c1_0.`descripcion`,c1_0.`duracion`,c1_0.`genero`,c1_0.`puntuacion`,c1_0.`titulo`,c1_0.`url` from `contenido` c1_0 where upper(c1_0.`autor`) like upper(?) escape '\\'
2024-04-29 17:34:01.749 [http-nio-8080-exec-6] DEBUG org.hibernate.SQL.logStatement - select c1_0.`id`,c1_0.`anyo`,c1_0.`autor`,c1_0.`categoria`,c1_0.`comentario`,c1_0.`descripcion`,c1_0.`duracion`,c1_0.`genero`,c1_0.`puntuacion`,c1_0.`titulo`,c1_0.`url` from `contenido` c1_0 where upper(c1_0.`autor`) like upper(?) escape '\\'
2024-04-29 17:37:01.348 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean.destroy - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-04-29 17:37:01.354 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource.close - HikariPool-1 - Shutdown initiated...
2024-04-29 17:37:01.359 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource.close - HikariPool-1 - Shutdown completed.
